Ranking,University,Location,Year
252,University of Miami,"Miami, United States",2017
257,Beijing Normal University,"Beijing, China (Mainland)",2017
258,Saint Petersburg State University,"Saint Petersburg, Russia",2017
259,Norwegian University of Science And Technology,"Trondheim, Norway",2017
260,Université de Strasbourg,"Strasbourg, France",2017
261,University of Surrey,"Guildford, United Kingdom",2017
262,Université Diderot  Paris 7,"Paris, France",2017
263,Universität Stuttgart,"Stuttgart, Germany",2017
264,Goethe-University Frankfurt am Main,"Frankfurt, Germany",2017
264,University of Gothenburg,"Gothenburg, Sweden",2017
264,Kyung Hee University,South Korea,2017
264,ENS Paris-Saclay,"Cachan, France",2017
268,Ecole des Ponts ParisTech,"Paris, France",2017
269,Universidad Nacional de Colombia,"Bogotá, Colombia",2017
270,Universiti Putra Malaysia (UPM),"Seri Kembangan, Malaysia",2017
271,"University of California, Riverside","Riverside, United States",2017
272,Universidad de los Andes,"Bogotá, Colombia",2017
272,Friedrich-Alexander-Universität Erlangen-Nürnberg,"Erlangen, Germany",2017
272,University of Strathclyde,"Glasgow, United Kingdom",2017
275,Wuhan University,"Wuhan, China (Mainland)",2017
276,Queensland University of Technology (QUT),"Brisbane, Australia",2017
277,North Carolina State University,"Raleigh, United States",2017
278,Harbin Institute of Technology,"Harbin, China (Mainland)",2017
278,Hong Kong Baptist University,"Hong Kong, Hong Kong SAR",2017
280,Universidad Carlos III de Madrid (UC3M),"Madrid, Spain",2017
280,"Birkbeck, University of London","London, United Kingdom",2017
282,Linköping University,"Linköping, Sweden",2017
283,Mahidol University,"Nakhon Pathom, Thailand",2017
283,Universitat Pompeu Fabra (Barcelona),"Barcelona, Spain",2017
283,University College Cork,"Cork, Ireland",2017
283,King Abdulaziz University (KAU),"Jeddah, Saudi Arabia",2017
283,Dalhousie University,"Halifax, Canada",2017
288,University of South Australia,"Magill, Australia",2017
288,Universiti Teknologi Malaysia,"Skudai, Malaysia",2017
288,University of St.Gallen (HSG),"St. Gallen, Switzerland",2017
291,Indiana University Bloomington,"Bloomington, United States",2017
291,University of Ottawa,"Ottawa, Canada",2017
291,Novosibirsk State University,"Novosibirsk , Russia",2017
294,Westfälische Wilhelms-Universität Münster,"Münster, Germany",2017
294,Umea University,"Umeå, Sweden",2017
296,"University of California, Santa Cruz","Santa Cruz, United States",2017
297,Sun Yat-sen University,"Guangzhou, China (Mainland)",2017
297,Hiroshima University,"Higashihiroshima City, Japan",2017
299,Universität Innsbruck,"Innsbruck, Austria",2017
299,Boston College,"Newton, United States",2017
301,Rutgers University–New Brunswick,"New Brunswick, United States",2017
302,Charles University,"Prague, Czech Republic",2017
302,Universiti Kebangsaan Malaysia (UKM),"Bangi, Malaysia",2017
302,Indian Institute of Technology Kanpur (IITK),"Kanpur, India",2017
305,Politecnico di Torino,"Turin, Italy",2017
306,Curtin University,"Perth, Australia",2017
306,Bauman Moscow State Technical University,"Moscow, Russia",2017
308,Universidad Austral,"Pilar, Argentina",2017
308,National Yang Ming University,"Taipei City, Taiwan",2017
310,National Taiwan Normal University,"Taipei City, Taiwan",2017
310,Pontificia Universidad Católica Argentina,"Buenos Aires, Argentina",2017
310,Rensselaer Polytechnic Institute,"Troy, United States",2017
313,Indian Institute of Technology Kharagpur (IIT-KGP),"Kharagpur, India",2017
314,"City, University of London","London, United Kingdom",2017
315,Nankai University,"Tianjin, China (Mainland)",2017
315,Tongji University,"Shanghai, China (Mainland)",2017
315,Université de Liège,"Arlon, Belgium",2017
318,Xi’an Jiaotong University,"Xi'an, China (Mainland)",2017
319,Tampere University of Technology,"Tampere, Finland",2017
320,Ben-Gurion University of The Negev,"Be'er Sheva, Israel",2017
321,Universidade Federal do Rio de Janeiro,"Rio de Janeiro, Brazil",2017
321,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),"Barcelona, Spain",2017
323,University of Porto,"Porto, Portugal",2017
324,University of Waikato,"Hamilton , New Zealand",2017
325,Universitas Indonesia,"Depok, Indonesia",2017
325,University of Victoria (UVic),"Victoria, Canada",2017
327,Université de Montpellier,"Montpellier, France",2017
327,Heriot-Watt University,"Edinburgh, United Kingdom",2017
329,Tokyo Medical and Dental University (TMDU),"Tokyo, Japan",2017
330,University of Lisbon,"Lisbon , Portugal",2017
330,Universiti Sains Malaysia (USM),"Gelugor, Malaysia",2017
330,Tilburg University,"Tilburg, Netherlands",2017
330,"Essex, University of","Colchester, United Kingdom",2017
330,Yeshiva University,"New York City, United States",2017
335,Ewha Womans University,"Seoul, South Korea",2017
336,Griffith University,"Nathan, Australia",2017
337,Gwangju Institute of Science and Technology (GIST),"Gwangju, South Korea",2017
338,Università di Padova,"Padua, Italy",2017
338,University of Jyväskylä,"Jyväskylä, Finland",2017
340,Massey University,"Palmerston North, New Zealand",2017
340,James Cook University,"Townsville, Australia",2017
342,University at Buffalo SUNY,"Buffalo, United States",2017
343,Lincoln University,"Lincoln, New Zealand",2017
343,University of Hawaiʻi at Mānoa,"Honolulu, United States",2017
345,Brunel University London,United Kingdom,2017
345,L.N. Gumilyov Eurasian National University (ENU),"Nur-Sultan, Kazakhstan",2017
347,University of Cologne,"Cologne, Germany",2017
347,University of Tartu,"Tartu, Estonia",2017
347,University Ulm,"Ulm, Germany",2017
350,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),"Dolgoprudny, Russia",2017
350,MGIMO University,"Moscow, Russia",2017
352,Universität Konstanz,"Konstanz, Germany",2017
352,Universidad de Belgrano,"Buenos Aires, Argentina",2017
354,Belarusian State University,"Minsk, Belarus",2017
355,Deakin University,"Geelong, Australia",2017
356,"Université Paris-Dauphine, Université PSL","Paris, France",2017
358,Aston University,"Birmingham, United Kingdom",2017
359,University of Witwatersrand,"Johannesburg, South Africa",2017
359,Oxford Brookes University,United Kingdom,2017
361,Virginia Polytechnic Institute and State University,"Blacksburg, United States",2017
361,Northeastern University,"Boston, United States",2017
363,George Washington University,"Ashburn, United States",2017
363,Universität Jena,"Jena, Germany",2017
365,The American University in Cairo,"Cairo, Egypt",2017
366,University of Warsaw,"Warsaw, Poland",2017
366,Universidade Nova de Lisboa,"Lisbon, Portugal",2017
366,University of Kent,"Paris, United Kingdom",2017
369,Kobe University,"Kobe City, Japan",2017
370,University of Milan,"Milan, Italy",2017
370,University of Tasmania,"Hobart, Australia",2017
372,Université Laval,"Québec, Canada",2017
373,University of Kansas,"Lawrence, United States",2017
374,University of the Philippines,"Quezon City, Philippines",2017
374,Aalborg University,"Aalborg, Denmark",2017
374,"University of Colorado, Denver","Denver, United States",2017
377,Université Paris Descartes,"Paris , France",2017
377,Tomsk State University,"Tomsk, Russia",2017
377,University of Tromsø The Arctic University of Norway,"Tromsø, Norway",2017
380,Dublin City University,"Dublin, Ireland",2017
380,University of Texas Dallas,"Richardson, United States",2017
382,University of Eastern Finland,"Kuopio, Finland",2017
382,V. N. Karazin Kharkiv National University,"Kharkiv, Ukraine",2017
384,American University,"Washington D.C., United States",2017
385,University of Stirling,"Stirling, United Kingdom",2017
386,Colorado State University,"Fort Collins, United States",2017
386,Chung-Ang University (CAU),"Seoul, South Korea",2017
386,La Trobe University,"Melbourne, Australia",2017
389,Beijing Institute of Technology,"Beijing, China (Mainland)",2017
390,"Stony Brook University, State University of New York","Stony Brook, United States",2017
390,Swansea University,"Swansea, United Kingdom",2017
390,University of Southern Denmark (SDU),"Odense, Denmark",2017
393,University of Iowa,"Iowa City, United States",2017
393,Qatar University,"Doha, Qatar",2017
395,Stellenbosch University,"Stellenbosch, South Africa",2017
395,Washington State University,"Pullman, United States",2017
395,National Sun Yat-sen University,"Kaohsiung City, Taiwan",2017
395,National Technical University of Athens,"Athens, Greece",2017
399,Indian Institute of Technology Roorkee (IITR),"Roorkee, India",2017
400,Leibniz University Hannover,"Hanover, Germany",2017
400,National Research Tomsk Polytechnic University,Russia,2017
401-410,Bandung Institute of Technology (ITB),"Bandung, Indonesia",2017
401-410,Brandeis University,"Waltham, United States",2017
401-410,Illinois Institute of Technology,"Chicago, United States",2017
401-410,Johannes Gutenberg Universität Mainz,"Mainz, Germany",2017
401-410,Khalifa University of Science and Technology,"Abu Dhabi, United Arab Emirates",2017
401-410,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),"Moscow, Russia",2017
401-410,Taipei Medical University (TMU),"Taipei City, Taiwan",2017
401-410,Universidad Externado de Colombia,"Bogotá, Colombia",2017
401-410,Wake Forest University,"Winston-Salem, United States",2017
411-420,Aix-Marseille University,"Marseille, France",2017
411-420,Bilkent University,"Ankara, Turkey",2017
411-420,Sogang University,"Seoul, South Korea",2017
411-420,Bangor University,United Kingdom,2017
411-420,Satbayev University,"Almaty, Kazakhstan",2017
411-420,National Central University,"Taoyuan City, Taiwan",2017
411-420,HSE University,"Moscow, Russia",2017
411-420,Peter the Great St. Petersburg Polytechnic University,"St. Petersburg, Russia",2017
411-420,United Arab Emirates University,"Al Ain, United Arab Emirates",2017
411-420,Universität Mannheim,"Mannheim, Germany",2017
411-420,University of Delaware,"Newark, United States",2017
411-420,University of Oulu,"Oulu, Finland",2017
411-420,University of Utah,"Salt Lake City, United States",2017
421-430,Renmin (People's) University of China,"Beijing, China (Mainland)",2017
421-430,Julius-Maximilians-Universität Würzburg,"Würzburg, Germany",2017
421-430,Iowa State University,"Ames, United States",2017
421-430,Christian-Albrechts-University zu Kiel,"Kiel, Germany",2017
421-430,"Goldsmiths, University of London","London, United Kingdom",2017
421-430,Institut National des Sciences Appliquées de Lyon (INSA),"Lyon, France",2017
421-430,University of Connecticut,"Storrs, United States",2017
431-440,University of Pisa,"Pisa, Italy",2017
431-440,Pontificia Universidad Javeriana,"Bogotá, Colombia",2017
431-440,Jagiellonian University,"Krakow, Poland",2017
431-440,Florida State University,"Tallahassee, United States",2017
431-440,Taras Shevchenko National University of Kyiv,"Kyiv, Ukraine",2017
431-440,The University of Georgia,"Athens, United States",2017
431-440,Beihang University (former BUAA),"Beijing, China (Mainland)",2017
431-440,HUFS - Hankuk (Korea) University of Foreign Studies,"Seoul, South Korea",2017
431-440,Sharif University of Technology,"Tehran, Iran, Islamic Republic of",2017
431-440,Singapore Management University,Singapore,2017
431-440,Universitat Politècnica de València,"València, Spain",2017
441-450,Universität Bremen,"Bremen, Germany",2017
441-450,Huazhong University of Science and Technology,"Wuhan, China (Mainland)",2017
