Ranking,University,Location,Year
411,Jagiellonian University,"Krakow, Poland",2019
412,Tulane University,"New Orleans, United States",2019
412,Universidad de Zaragoza,"Huesca, Spain",2019
412,Ural Federal University - UrFU,"Ekaterinburg, Russia",2019
415,Huazhong University of Science and Technology,"Wuhan, China (Mainland)",2019
415,National Central University,"Taoyuan City, Taiwan",2019
417,National University of Sciences And Technology (NUST) Islamabad,"Islamabad, Pakistan",2019
417,University of Stirling,"Stirling, United Kingdom",2019
419,"The University of Tennessee, Knoxville","Knoxville, United States",2019
420,The American University in Cairo,"Cairo, Egypt",2019
420,Universidad de Palermo (UP),"Buenos Aires, Argentina",2019
422,Dublin City University,"Dublin, Ireland",2019
422,Shanghai University,"Shanghai, China (Mainland)",2019
422,University of Pisa,"Pisa, Italy",2019
422,Université de Montpellier,"Montpellier, France",2019
426,Illinois Institute of Technology,"Chicago, United States",2019
426,University of Trento,"Trento, Italy",2019
426,University of Texas Dallas,"Richardson, United States",2019
429,Brandeis University,"Waltham, United States",2019
429,Chang Gung University,"Taoyuan City, Taiwan",2019
431,The University of Georgia,"Athens, United States",2019
432,Aberystwyth University,"Aberystwyth, United Kingdom",2019
432,Dongguk University,"Seoul, South Korea",2019
432,Sharif University of Technology,"Tehran, Iran, Islamic Republic of",2019
435,Bangor University,United Kingdom,2019
435,Sogang University,"Seoul, South Korea",2019
435,Swansea University,"Swansea, United Kingdom",2019
435,University of Iowa,"Iowa City, United States",2019
439,Kazan (Volga region) Federal University,"Kazan, Russia",2019
439,University of Delaware,"Newark, United States",2019
439,Wayne State University,"Detroit, United States",2019
442,Universiti Teknologi Brunei,"Bandar Seri Begawan, Brunei",2019
443,Bond University,"Gold Coast, Australia",2019
443,Tianjin University,"Nankai, China (Mainland)",2019
443,University of Macau,Macau SAR,2019
446,National Technical University of Athens,"Athens, Greece",2019
446,RUDN University,"Moscow, Russia",2019
448,King Khalid University,"Abha, Saudi Arabia",2019
448,Koç University,"Istanbul, Turkey",2019
450,Colorado State University,"Fort Collins, United States",2019
450,Oregon State University,"Corvallis, United States",2019
450,Sultan Qaboos University,"Muscat, Oman",2019
453,Christian-Albrechts-University zu Kiel,"Kiel, Germany",2019
453,Aix-Marseille University,"Marseille, France",2019
453,"University of Maryland, Baltimore County","Baltimore, United States",2019
456,Bilkent University,"Ankara, Turkey",2019
456,Hitotsubashi University,"Kunitachi City, Japan",2019
456,Johannes Kepler University Linz,"Linz, Austria",2019
456,The Catholic University of Korea,"Gyeonggi, South Korea",2019
460,Yokohama City University,"Yokohama City, Japan",2019
461,Clark University,"Worcester, United States",2019
461,Universität des Saarlandes,"Saarbrücken, Germany",2019
461,University of Saskatchewan,"Saskatoon, Canada",2019
464,Auckland University of Technology (AUT),"Auckland, New Zealand",2019
464,Beijing Institute of Technology,"Beijing, China (Mainland)",2019
464,Chiba University,"Chiba City, Japan",2019
464,Concordia University,"Montreal, Canada",2019
464,Satbayev University,"Almaty, Kazakhstan",2019
464,Universidade Federal de São Paulo,"São Paulo, Brazil",2019
470,Universidad Politécnica de Madrid (UPM),"Madrid, Spain",2019
470,University of Szeged,"Szeged, Hungary",2019
472,Florida State University,"Tallahassee, United States",2019
472,Indian Institute of Technology Guwahati (IITG),"Guwahati, India",2019
472,University of Naples - Federico II,"Naples, Italy",2019
475,Jilin University,"Changchun, China (Mainland)",2019
476,The National University of Science and Technology MISIS,"Moscow, Russia",2019
476,Xiamen University,"Xiamen, China (Mainland)",2019
478,Flinders University,"Adelaide, Australia",2019
478,Institut National des Sciences Appliquées de Lyon (INSA),"Lyon, France",2019
480,Auezov South Kazakhstan University (SKU),"Shymkent, Kazakhstan",2019
481,Abai Kazakh National Pedagogical University,"Almaty, Kazakhstan",2019
481,UCSI University,Malaysia,2019
481,Universidad de Alcalá,"Alcalá de Henares, Spain",2019
481,University of Eastern Finland,"Kuopio, Finland",2019
481,V. N. Karazin Kharkiv National University,"Kharkiv, Ukraine",2019
481,York University,"Toronto, Canada",2019
487,University of Delhi,"New Delhi, India",2019
488,Vilnius University,"Vilnius, Lithuania",2019
489,Iowa State University,"Ames, United States",2019
489,University of Bordeaux,"Talence, France",2019
491,Beihang University (former BUAA),"Beijing, China (Mainland)",2019
491,UNESP,"SÃ£o Paulo, Brazil",2019
491,Università Cattolica del Sacro Cuore,"Milan, Italy",2019
494,University of New Mexico,"Albuquerque, United States",2019
495,University of Granada,"Granada, Spain",2019
495,University of Hohenheim,"Stuttgart, Germany",2019
495,University of Oklahoma,"Norman, United States",2019
498,Amirkabir University of Technology,"Tehran, Iran, Islamic Republic of",2019
498,Western Sydney University,"Milperra, Australia",2019
500,Singapore Management University,Singapore,2019
500,Technische Universität Braunschweig,"Braunschweig, Germany",2019
500,Saint Joseph University of Beirut (USJ),"Beirut, Lebanon",2019
500,University of Science and Technology Beijing,"Beijing, China (Mainland)",2019
501-510,Drexel University,"Philadelphia, United States",2019
501-510,East China Normal University,"Shanghai, China (Mainland)",2019
501-510,Howard University,"Washington D.C., United States",2019
501-510,Lehigh University,"Bethlehem, United States",2019
501-510,National Research Saratov State University,"Saratov, Russia",2019
501-510,Pusan National University,"Busan, South Korea",2019
501-510,Sabanci University,"Istanbul, Turkey",2019
501-510,Universidad de Costa Rica,"San Jose, Costa Rica",2019
501-510,University of Florence,"Florence, Italy",2019
501-510,University of Ulsan,"Ulsan, South Korea",2019
511-520,ITMO University,"St. Petersburg, Russia",2019
511-520,Kumamoto University,"Kumamoto City, Japan",2019
511-520,Okayama University,"Okayama City, Japan",2019
511-520,Southeast University,"Nanjing, China (Mainland)",2019
511-520,Universidad de La Habana,"Havana, Cuba",2019
511-520,Universidad de Santiago de Chile (USACH),"Santiago, Chile",2019
511-520,"University of Rome ""Tor Vergata""","Rome, Italy",2019
511-520,Universität Bremen,"Bremen, Germany",2019
511-520,University of Limerick,"Limerick, Ireland",2019
521-530,Cairo University,"Giza, Egypt",2019
521-530,Julius-Maximilians-Universität Würzburg,"Würzburg, Germany",2019
521-530,Lappeenranta-Lahti University of Technology LUT,"Lappeenranta , Finland",2019
521-530,Nagasaki University,"Nagasaki City, Japan",2019
521-530,Pontificia Universidad Javeriana,"Bogotá, Colombia",2019
521-530,Renmin (People's) University of China,"Beijing, China (Mainland)",2019
521-530,Université Paul Sabatier Toulouse III,"Toulouse, France",2019
521-530,Universiti Teknologi PETRONAS (UTP),"Seri Iskandar, Malaysia",2019
521-530,University of South Florida,"Tampa, United States",2019
531-540,Abo Akademi University,"Turku, Finland",2019
531-540,Czech Technical University in Prague,"Prague, Czech Republic",2019
531-540,East China University of Science and Technology,"Shanghai, China (Mainland)",2019
531-540,The New School,"New York, United States",2019
531-540,Pontifícia Universidade Católica de São Paulo,"São Paulo, Brazil",2019
531-540,Southern Federal University,"Rostov-on-Don, Russia",2019
531-540,Taras Shevchenko National University of Kyiv,"Kyiv, Ukraine",2019
531-540,Universidad de Montevideo (UM),"Montevideo, Uruguay",2019
531-540,University Paris 2 Panthéon-Assas,France,2019
531-540,University of Aveiro,"Aveiro, Portugal",2019
531-540,University of Vermont,"Burlington, United States",2019
541-550,American University,"Washington D.C., United States",2019
541-550,Far Eastern Federal University,"Vladivostok, Russia",2019
541-550,Osaka City University,"Osaka City, Japan",2019
541-550,Shandong University,"Jinan, China (Mainland)",2019
541-550,South China University of Technology,"Guangzhou, China (Mainland)",2019
541-550,Umm Al-Qura University,"Makkah, Saudi Arabia",2019
541-550,Universitat Ramon Llull,"Barcelona, Spain",2019
541-550,Université du Québec,"Québec, Canada",2019
541-550,University of Cincinnati,"Cincinnati, United States",2019
551-560,Inha University,"Incheon, South Korea",2019
551-560,Justus-Liebig-University Giessen,"Giessen, Germany",2019
551-560,Leibniz University Hannover,"Hanover, Germany",2019
551-560,Middle East Technical University,"Ankara, Turkey",2019
551-560,Pontificia Universidad Católica del Perú,"Lima, Peru",2019
551-560,Quaid-i-Azam University,"Islamabad, Pakistan",2019
551-560,Syracuse University,"Syracuse, United States",2019
551-560,University of Johannesburg,"Johannesburg, South Africa",2019
551-560,University of Kentucky,"Lexington, United States",2019
551-560,University of Nebraska - Lincoln,"Lincoln, United States",2019
561-570,American University in Dubai,"Dubai, United Arab Emirates",2019
561-570,Aristotle University of Thessaloniki,"Thessaloniki, Greece",2019
561-570,Indiana University–Purdue University Indianapolis,"Indianapolis, United States",2019
561-570,Kanazawa University,"Kanazawa, Japan",2019
561-570,Karl-Franzens-Universitaet Graz,"Graz, Austria",2019
561-570,Martin-Luther-Universität Halle-Wittenberg,"Halle, Germany",2019
561-570,National Taipei University of Technology,"Taipei City, Taiwan",2019
561-570,Universitat de Valencia,"València, Spain",2019
561-570,University of Pretoria,"Pretoria, South Africa",2019
561-570,University of South Carolina,"Columbia, United States",2019
571-580,Bogaziçi Üniversitesi,"Istanbul, Turkey",2019
571-580,Jeonbuk National University,"Jeonju, South Korea",2019
571-580,Coventry University,"Coventry, United Kingdom",2019
571-580,Dalian University of Technology,"Dalian, China (Mainland)",2019
571-580,Masaryk University,"Brno, Czech Republic",2019
571-580,Sarajevo School of Science and Technology,"Sarajevo, Bosnia and Herzegovina",2019
571-580,Tokyo University of Agriculture and Technology,"Tokyo, Japan",2019
571-580,University of Turin,"Turin, Italy",2019
571-580,Universität Regensburg,"Regensburg, Germany",2019
571-580,Université Paris Descartes,"Paris , France",2019
581-590,William & Mary,"Williamsburg, United States",2019
581-590,Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM),"Dammam, Saudi Arabia",2019
581-590,Instituto Tecnológico de Buenos Aires (ITBA),"Buenos Aires, Argentina",2019
581-590,Konkuk University,"Seoul, South Korea",2019
581-590,Universidad Anáhuac México,"Huixquilucan, Mexico",2019
581-590,Universidade de Santiago de Compostela,"Santiago de Compostela, Spain",2019
581-590,Università degli Studi di Pavia,"Pavia, Italy",2019
581-590,Universität  Leipzig,"Leipzig, Germany",2019
581-590,University of Guelph,"Guelph, Canada",2019
581-590,University of Massachusetts Boston,"Boston, United States",2019
581-590,University of Oregon,"Eugene, United States",2019
581-590,Vilnius Gediminas Technical University,"Vilnius , Lithuania",2019
591-600,Hallym University,"Chuncheon, South Korea",2019
591-600,"Kingston University, London","Kingston upon Thames, United Kingdom",2019
591-600,Michigan Technological University,"Houghton, United States",2019
591-600,Murdoch University,"Murdoch, Australia",2019
591-600,University of Salamanca,"Salamanca, Spain",2019
591-600,Universidad de San Andrés - UdeSA,"Buenos Aires, Argentina",2019
591-600,University of Balamand,"Beirut, Lebanon",2019
591-600,University of Bradford,"Bradford, United Kingdom",2019
591-600,University of Hull,"Hull, United Kingdom",2019
591-600,University of Hyderabad,"Hyderabad, India",2019
591-600,"University of Missouri, Columbia","Columbia, United States",2019
591-600,University of Mons,"Mons, Belgium",2019
601-650,Altai State University,"Barnaul, Russia",2019
601-650,Bar-Ilan University,"Ramat Gan, Israel",2019
601-650,Central Queensland University (CQUniversity Australia),"Norman Gardens, Australia",2019
601-650,City University of New York,"New York City, United States",2019
601-650,Clarkson University,"Potsdam, United States",2019
601-650,Iran University of Science and Technology,"Tehran, Iran, Islamic Republic of",2019
601-650,Jadavpur University,"Kolkata, India",2019
601-650,Kagoshima University,"Kagoshima City, Japan",2019
601-650,Keele University,"Keele, United Kingdom",2019
601-650,Lanzhou University,"Lanzhou, China (Mainland)",2019
601-650,Lebanese American University,"Byblos, Lebanon",2019
601-650,"Lingnan University, Hong Kong","Hong Kong, Hong Kong SAR",2019
601-650,Lobachevsky University,"Nizhny Novgorod, Russia",2019
601-650,National Chengchi University,"Taipei City, Taiwan",2019
601-650,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""","Kyiv, Ukraine",2019
601-650,Osaka Prefecture University,"Osaka City, Japan",2019
601-650,Philipps-Universität Marburg,"Marburg, Germany",2019
601-650,Pontifícia Universidade Católica do Rio de Janeiro,"Rio de Janeiro, Brazil",2019
601-650,Rutgers University–Newark,"Newark, United States",2019
601-650,Sichuan University,"Chengdu, China (Mainland)",2019
601-650,Smith College,"Northampton, United States",2019
601-650,Tallinn University of Technology (TalTech),"Tallinn, Estonia",2019
601-650,Taylor's University,"Subang Jaya, Malaysia",2019
601-650,Thammasat University,"Bangkok, Thailand",2019
601-650,Universidad de Sevilla,"Seville, Spain",2019
601-650,University of the Basque Country,"Leioa, Spain",2019
601-650,Universidad Nacional de La Plata (UNLP),"La Plata, Argentina",2019
601-650,Universidade Federal de Minas Gerais,"Belo Horizonte, Brazil",2019
601-650,Universidade Federal do Rio Grande Do Sul,"Porto Alegre, Brazil",2019
601-650,University of Bayreuth,"Bayreuth, Germany",2019
601-650,Universität Duisburg-Essen,"Duisburg, Germany",2019
601-650,Universität Potsdam,"Potsdam, Germany",2019
601-650,Université Claude Bernard Lyon 1,"Villeurbanne, France",2019
601-650,Université de Fribourg,"Fribourg, Switzerland",2019
601-650,Universiti Utara Malaysia (UUM),"Sintok, Malaysia",2019
601-650,University of Canberra,"Bruce, Australia",2019
601-650,University of Debrecen,"Debrecen, Hungary",2019
601-650,University of Jordan,"Amman, Jordan",2019
601-650,University of Manitoba,"Winnipeg, Canada",2019
601-650,University of Milano-Bicocca,"Milan, Italy",2019
601-650,University of Plymouth,"Plymouth, United Kingdom",2019
601-650,University of Portsmouth,"Portsmouth, United Kingdom",2019
601-650,University of Tampere,"Tampere, Finland",2019
601-650,Ulster University,"Coleraine, United Kingdom",2019
601-650,University of Westminster,"London, United Kingdom",2019
601-650,Virginia Commonwealth University,"Richmond, United States",2019
601-650,Warsaw University of Technology,"Warsaw, Poland",2019
601-650,Worcester Polytechnic Institute,"Worcester, United States",2019
651-700,Ajou University,"Suwon, South Korea",2019
651-700,Ateneo de Manila University,"Quezon City, Philippines",2019
651-700,Brno University of Technology,"Brno, Czech Republic",2019
651-700,Carleton University,"Ottawa, Canada",2019
651-700,Charles Darwin University,"Casuarina, Australia",2019
651-700,Chiang Mai University,"Chiang Mai, Thailand",2019
651-700,China Agricultural University,"Beijing, China (Mainland)",2019
651-700,Chonnam National University,"Gwangju, South Korea",2019
651-700,Academician Y.A. Buketov Karaganda University,"Karaganda, Kazakhstan",2019
651-700,Gifu University,"Gifu City, Japan",2019
651-700,Holy Spirit University of Kaslik,"Jounieh, Lebanon",2019
651-700,Instituto Politécnico Nacional (IPN),"Ciudad de México, Mexico",2019
651-700,Instituto Tecnológico Autónomo de México (ITAM),"Mexico City, Mexico",2019
651-700,International Islamic University Malaysia (IIUM),"Kuala Lumpur, Malaysia",2019
651-700,Istanbul Technical University,"Maslak-Istanbul, Turkey",2019
651-700,Jordan University of Science & Technology,"Irbid, Jordan",2019
651-700,Kazakh National Agrarian University KazNAU,"Almaty, Kazakhstan",2019
651-700,Kazakh-British Technical University,"Almaty, Kazakhstan",2019
651-700,Kyungpook National University,"Daegu, South Korea",2019
651-700,Louisiana State University,"Baton Rouge, United States",2019
651-700,Memorial University of Newfoundland,"St. John's, Canada",2019
651-700,National and Kapodistrian University of Athens,"Athens, Greece",2019
651-700,National Chung Hsing University,"Taichung City, Taiwan",2019
651-700,Niigata University,"Niigata City, Japan",2019
651-700,Universitas Padjadjaran,"Bandung, Indonesia",2019
651-700,Palacký University Olomouc,Czech Republic,2019
651-700,Sejong University,"Seoul, South Korea",2019
651-700,Southern Methodist University,"Dallas, United States",2019
651-700,Stevens Institute of Technology,"Hoboken, United States",2019
651-700,Temple University,"Philadelphia, United States",2019
651-700,Tokyo Metropolitan University,"Tokyo, Japan",2019
651-700,Universidad de Concepción,"Concepción, Chile",2019
651-700,Universidad Torcuato Di Tella,"Buenos Aires, Argentina",2019
651-700,Université de Lille,France,2019
651-700,Université de Sherbrooke,"Sherbrooke, Canada",2019
651-700,Université Nice Sophia Antipolis,"Nice, France",2019
651-700,University at Albany SUNY,"Albany, United States",2019
651-700,University of Baghdad,"Baghdad, Iraq",2019
651-700,University of Crete,"Heraklion, Greece",2019
651-700,University of Denver,"Denver, United States",2019
651-700,University of Haifa,"Haifa, Israel",2019
651-700,University of Houston,"Houston, United States",2019
651-700,University of Ljubljana,"Ljubljana, Slovenia",2019
651-700,University of Minho,"Braga, Portugal",2019
651-700,University of Seoul,"Seoul, South Korea",2019
651-700,University of Sharjah,"Sharjah, United Arab Emirates",2019
651-700,University of Windsor,"Windsor, Canada",2019
651-700,University of Wyoming,"Laramie, United States",2019
651-700,Victoria University,"Melbourne, Australia",2019
701-750,Abu Dhabi University,"Abu Dhabi, United Arab Emirates",2019
701-750,Université de Lorraine,"Nancy, France",2019
701-750,Ain Shams University,"Cairo, Egypt",2019
701-750,University of Klagenfurt,"Klagenfurt, Austria",2019
701-750,Bogor Agricultural University,"Bogor, Indonesia",2019
701-750,Bournemouth University,"Poole, United Kingdom",2019
701-750,Chungnam National University,"Daejeon, South Korea",2019
701-750,Clemson University,"Clemson, United States",2019
701-750,Dankook University,"Seoul, South Korea",2019
701-750,Eötvös Loránd University,"Budapest, Hungary",2019
701-750,Georgia State University,"Atlanta, United States",2019
701-750,Gunma University,"Maebashi, Japan",2019
701-750,Hunan University,"Changsha, China (Mainland)",2019
701-750,Lahore University of Management Sciences (LUMS),"Lahore, Pakistan",2019
701-750,Maynooth University,"Maynooth, Ireland",2019
701-750,Missouri University of Science and Technology,"Rolla, United States",2019
701-750,"National Technical University  ""Kharkiv Polytechnic Institute""","Kharkiv, Ukraine",2019
701-750,Northumbria University at Newcastle,"Newcastle upon Tyne, United Kingdom",2019
701-750,Samara National Research University (Samara University),"Samara, Russia",2019
701-750,Shanghai International Studies University,"Shanghai, China (Mainland)",2019
701-750,TU Dortmund University,"Dortmund, Germany",2019
701-750,Texas Tech University,"Lubbock, United States",2019
701-750,Universidad Adolfo Ibáñez,"Santiago, Chile",2019
701-750,Universidad de Antioquia,"Medellin, Colombia",2019
701-750,Universidad San Francisco de Quito (USFQ),"Quito, Ecuador",2019
701-750,Universidad Iberoamericana IBERO,"Mexico City, Mexico",2019
701-750,Universidade Federal de São Carlos (UFSCar),"São Paulo, Brazil",2019
701-750,Universita' degli Studi di Ferrara,"Ferrara, Italy",2019
701-750,University of Genoa,"Genoa, Italy",2019
701-750,University of Siena,"Siena, Italy",2019
701-750,University of Trieste,"Trieste, Italy",2019
701-750,Bielefeld University,"Bielefeld, Germany",2019
701-750,University Duesseldorf,"Düsseldorf, Germany",2019
701-750,Universität Rostock,"Rostock, Germany",2019
701-750,Université de Rennes 1,"Rennes, France",2019
701-750,Universiti Tenaga Nasional (UNITEN),"Kajang, Malaysia",2019
701-750,The University of Alabama,"Tuscaloosa, United States",2019
701-750,University of Brescia,"Brescia, Italy",2019
701-750,University of East London,"London, United Kingdom",2019
701-750,University of Greenwich,United Kingdom,2019
701-750,University of Huddersfield,"Huddersfield, United Kingdom",2019
701-750,University of Kufa,"Kufa, Iraq",2019
701-750,University of Patras,"Patras, Greece",2019
701-750,University of Pecs,"Pécs, Hungary",2019
701-750,University of Tehran,"Tehran, Iran, Islamic Republic of",2019
701-750,University of Tulsa,"Tulsa, United States",2019
701-750,Viet Nam National University Ho Chi Minh City (VNU-HCM),"Ho Chi Minh City, Vietnam",2019
701-750,Yamaguchi University,"Yamaguchi City, Japan",2019
701-750,Yokohama National University,"Yokohama City, Japan",2019
701-750,Zayed University,"Dubai, United Arab Emirates",2019
751-800,Airlangga University,"Surabaya, Indonesia",2019
751-800,Anna University,"Chennai, India",2019
751-800,Beijing Foreign Studies University,"Beijing, China (Mainland)",2019
751-800,Beijing Jiaotong University,"Beijing, China (Mainland)",2019
751-800,Beijing University of Technology,"Beijing, China (Mainland)",2019
751-800,Comenius University in Bratislava,"Bratislava, Slovakia",2019
751-800,COMSATS University Islamabad,"Islamabad, Pakistan",2019
751-800,Technological University Dublin,"Dublin, Ireland",2019
751-800,Edith Cowan University,"Joondalup, Australia",2019
751-800,German Jordanian University,Jordan,2019
751-800,Jamia Millia Islamia,India,2019
751-800,Kansas State University,"Manhattan, United States",2019
751-800,Karaganda State Technical University,"Karaganda, Kazakhstan",2019
751-800,Kaunas University of Technology,"Kaunas, Lithuania",2019
751-800,Kent State University,"Kent, United States",2019
751-800,London Metropolitan University,"London, United Kingdom",2019
751-800,London South Bank University,"London, United Kingdom",2019
751-800,"Manipal Academy of Higher Education, Manipal, Karnataka, India","Manipal, India",2019
751-800,Middlesex University,"London, United Kingdom",2019
751-800,Nagoya Institute of Technology (NIT),"Nagoya, Japan",2019
751-800,Lviv Polytechnic National University,Ukraine,2019
751-800,New Jersey Institute of Technology (NJIT),"Newark, United States",2019
751-800,Oklahoma State University,"Stillwater, United States",2019
751-800,Paris Lodron University of Salzburg,"Salzburg , Austria",2019
751-800,Pontificia Universidad Católica de Valparaíso,"Valparaíso, Chile",2019
751-800,Riga Technical University,"Riga, Latvia",2019
751-800,Slovak University of Technology in Bratislava,"Bratislava, Slovakia",2019
751-800,Sophia University,"Tokyo, Japan",2019
751-800,Sumy State University,"Sumy, Ukraine",2019
751-800,Tokyo University of Science,"Kagurazaka, Japan",2019
751-800,Universidad Autónoma Metropolitana (UAM),"Mexico City, Mexico",2019
751-800,Universidad Central de Venezuela,"Caracas, Venezuela",2019
751-800,Universidad de Guadalajara (UDG),"Guadalajara, Mexico",2019
751-800,Universidad de las Américas Puebla (UDLAP),"Cholula, Mexico",2019
751-800,Universidad Nacional Costa Rica,"Heredia, Costa Rica",2019
751-800,Universidad Panamericana (UP),"Mexico City, Mexico",2019
751-800,Universidade Católica Portuguesa - UCP,"Lisbon, Portugal",2019
751-800,Universidade de Brasília,"Brasília, Brazil",2019
751-800,Universidade Federal de Santa Catarina,"Florianópolis, Brazil",2019
751-800,Ca' Foscari University of Venice,"Venice, Italy",2019
751-800,Università degli Studi di Perugia,"Perugia, Italy",2019
751-800,Universiti Teknologi MARA - UiTM,"Shah Alam, Malaysia",2019
751-800,University of Brighton,United Kingdom,2019
751-800,University of Central Florida,"Orlando, United States",2019
751-800,University of Electronic Science and Technology of China,"Chengdu, China (Mainland)",2019
751-800,University of Hertfordshire,"Hatfield, United Kingdom",2019
751-800,University of Kwazulu-Natal,"Pinetown, South Africa",2019
751-800,University of New Hampshire,"Durham, United States",2019
751-800,University of Salford,"Salford, United Kingdom",2019
751-800,University of Southern Queensland,"Toowoomba, Australia",2019
801-1000,"Adam Mickiewicz University, Poznań","Poznań, Poland",2019
801-1000,AGH University of Science and Technology,"Krakow, Poland",2019
801-1000,Ajman University,"Ajman, United Arab Emirates",2019
801-1000,Al Akhawayn University Ifrane,"Ifranne, Morocco",2019
801-1000,Al-Azhar University,"Cairo, Egypt",2019
801-1000,Alexandria University,"Alexandria, Egypt",2019
801-1000,Alexandru Ioan Cuza University,"Iași, Romania",2019
801-1000,Aligarh Muslim University,"Aligarh, India",2019
801-1000,Al Imam Mohammad Ibn Saud Islamic University,"Riyadh, Saudi Arabia",2019
801-1000,Amity University,"Noida, India",2019
801-1000,Amrita Vishwa Vidyapeetham,"Amritapuri, India",2019
801-1000,Ankara Üniversitesi,"Ankara, Turkey",2019
801-1000,Aoyama Gakuin University,"Tokyo, Japan",2019
801-1000,Assiut University,"Asyut, Egypt",2019
801-1000,Athens University of Economics and Business,"Athens, Greece",2019
801-1000,Auburn University,"Auburn, United States",2019
801-1000,Australian Catholic University,"Melbourne, Australia",2019
801-1000,Babes-Bolyai University,"Cluj-Napoca, Romania",2019
801-1000,Baku State University,"Baku, Azerbaijan",2019
801-1000,Banaras Hindu University,"Varanasi, India",2019
801-1000,Bangladesh University of Engineering and Technology,"Dhaka, Bangladesh",2019
801-1000,Baylor University,"Waco, United States",2019
801-1000,Belarusian National Technical University (BNTU),"Minsk, Belarus",2019
801-1000,Benemérita Universidad Autónoma de Puebla,"Puebla, Mexico",2019
801-1000,Binghamton University SUNY,"Binghamton, United States",2019
801-1000,"Birla Institute of Technology and Science, Pilani","Pilani, India",2019
801-1000,Birzeit university,"Birzeit, Palestinian Territory, Occupied",2019
801-1000,Brigham Young University,"Provo, United States",2019
801-1000,Budapest University of Technology and Economics,"Budapest, Hungary",2019
801-1000,Central South University,China (Mainland),2019
801-1000,Charles Sturt University,"Thurgoona, Australia",2019
801-1000,Chongqing University,"Chongqing, China (Mainland)",2019
801-1000,Corvinus University of Budapest,"Budapest, Hungary",2019
801-1000,Cracow University of Technology (Politechnika Krakowska),"Krakow, Poland",2019
801-1000,De La Salle University,"Manila, Philippines",2019
801-1000,Diponegoro University,"Semarang, Indonesia",2019
801-1000,Doshisha University,"Kyoto, Japan",2019
801-1000,Edinburgh Napier University,"Edinburgh, United Kingdom",2019
801-1000,Escuela Superior Politécnica del Litoral (ESPOL),"Guayaquil, Ecuador",2019
801-1000,Feng Chia University,"Taichung City, Taiwan",2019
801-1000,Florida International University,"Miami, United States",2019
801-1000,Fordham University,"New York City, United States",2019
801-1000,Fu Jen Catholic University,"New Taipei City, Taiwan",2019
801-1000,Gazi Üniversitesi,"Ankara, Turkey",2019
801-1000,George Mason University,"Fairfax, United States",2019
801-1000,Hacettepe University,"Ankara, Turkey",2019
801-1000,Istanbul University,"Istanbul, Turkey",2019
801-1000,Kasetsart University,"Bangkok, Thailand",2019
801-1000,Kazakh Ablai Khan University of International Relations and World Languages,"Almaty, Kazakhstan",2019
801-1000,Khon Kaen University,"Khon Kaen, Thailand",2019
801-1000,King Faisal University,"Hofuf, Saudi Arabia",2019
801-1000,King Mongkut's University of Technology Thonburi,"Bangkok, Thailand",2019
801-1000,Kuwait University,"Kuwait City, Kuwait",2019
801-1000,Kyoto Institute of Technology,"Kyoto, Japan",2019
801-1000,Kyushu Institute of Technology,"Kitakyushu, Japan",2019
801-1000,Lodz University of Technology,"Lodz, Poland",2019
801-1000,Loyola University Chicago,"Chicago, United States",2019
801-1000,Manchester Metropolitan University (MMU),"Manchester , United Kingdom",2019
801-1000,Marquette University,"Milwaukee, United States",2019
801-1000,Meiji University,"Tokyo, Japan",2019
801-1000,Miami University,"Oxford, United States",2019
801-1000,Multimedia University (MMU),"Cyberjaya, Malaysia",2019
801-1000,Mustansiriyah University,"Baghdad, Iraq",2019
801-1000,National Chung Cheng University,"Minxiong Township, Taiwan",2019
801-1000,Nicolaus Copernicus University,"Toruń, Poland",2019
801-1000,North-West University,"Potchefstroom, South Africa",2019
801-1000,Nottingham Trent University,"Nottingham, United Kingdom",2019
801-1000,Novosibirsk State Technical University,"Novosibirsk, Russia",2019
801-1000,Ochanomizu University,"Tokyo, Japan",2019
801-1000,Ohio University,"Athens, United States",2019
801-1000,Plekhanov Russian University of Economics,"Moscow, Russia",2019
801-1000,Pontificia Universidad Católica del Ecuador (PUCE),"Quito, Ecuador",2019
801-1000,Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),"Porto Alegre, Brazil",2019
801-1000,Poznań University of Technology,Poland,2019
801-1000,Prince of Songkla University,"Hat Yai, Thailand",2019
801-1000,Rhodes University,"Grahamstown, South Africa",2019
801-1000,Riga Stradins University,"Riga, Latvia",2019
801-1000,Ritsumeikan University,"Kyoto, Japan",2019
801-1000,Ryerson University,"Toronto, Canada",2019
801-1000,Saitama University,"Saitama City, Japan",2019
801-1000,San Diego State University,"San Diego , United States",2019
801-1000,Savitribai Phule Pune University,"Pune, India",2019
801-1000,Seoul National University of Science and Technology,"Seoul, South Korea",2019
801-1000,Institut Teknologi Sepuluh Nopember (ITS Surabaya),"Surabaya, Indonesia",2019
801-1000,Shahid Beheshti University (SBU),"Tehran, Iran, Islamic Republic of",2019
801-1000,Shinshu University,"Matsumoto City, Japan",2019
801-1000,Shiraz University,"Shiraz, Iran, Islamic Republic of",2019
801-1000,"Siberian Federal University, SibFU","Krasnoyarsk, Russia",2019
801-1000,"Sofia University ""St. Kliment Ohridski""","Sofia, Bulgaria",2019
