Ranking,University,Location,Overall Score,Academic Reputation,Employer Reputation,Faculty Student Ratio,Citations per Faculty,International Faculty Ratio,International Students Ratio
=241,National Cheng Kung University (NCKU),"Tainan City, Taiwan",42,42.2,34.3,39.8,57.1,17.6,27.7
=241,Université Paris-Saclay,France,42,37.4,,68.1,31.8,32.2,52.4
243,National Taiwan University of Science and Technology (Taiwan Tech),"Taipei City, Taiwan",41.7,33.1,,73.8,46.2,,26.9
244,University of Dundee,"Dundee, United Kingdom",41.6,,,82.1,25.2,88.5,76.2
=245,"The University of Newcastle, Australia (UON)","Callaghan, Australia",41.3,37.7,43.2,,44.1,99.3,59.5
=245,University of Navarra,"Pamplona, Spain",41.3,32.4,84.7,66.1,,19.5,54.9
=247,Macquarie University,"Sydney, Australia",41.2,39.2,47.9,,51.4,96,66.9
=247,Technical University of Darmstadt,"Darmstadt, Germany",41.2,29.3,82.6,,69,59.5,56.4
=249,Indian Institute of Technology Madras (IITM),"Chennai, India",41,41.1,55.2,,73.3,,
=249,National University of Ireland Galway,"Galway, Ireland",41,,35.5,76.8,,90.7,62.6
251,University of Massachusetts Amherst,"Amherst, United States",40.8,47.5,,,69.3,18.5,
=252,Chulalongkorn University,"Bangkok, Thailand",40.6,68.9,52.3,,,16.4,
=252,RMIT University,"Melbourne, Australia",40.6,42,74.1,,,100,83.5
=252,SOAS University of London,"London, United Kingdom",40.6,38.4,,45.8,,100,100
=252,University of East Anglia (UEA),"Norwich, United Kingdom",40.6,28.3,,35.2,59.5,81,90.1
=252,University of Miami,"Miami, United States",40.6,,,95.2,35.1,,48.9
257,Beijing Normal University,"Beijing, China (Mainland)",40.4,49.3,33.4,31.8,40.3,40.4,
258,Saint Petersburg State University,"Saint Petersburg, Russia",40.1,38,31.3,97.6,,,26.4
259,Norwegian University of Science And Technology,"Trondheim, Norway",39.8,36.6,46,31.4,45.7,73.7,28
260,Université de Strasbourg,"Strasbourg, France",39.6,60.7,,,28.1,40.3,49
261,University of Surrey,"Guildford, United Kingdom",39.5,,35.6,33.1,43.8,96,98.5
262,Université Diderot  Paris 7,"Paris, France",39.4,55.8,,,51.3,34,42.2
263,Universität Stuttgart,"Stuttgart, Germany",39.3,34.8,62.3,35.2,34.6,37.1,64.9
=264,Goethe-University Frankfurt am Main,"Frankfurt, Germany",39.2,55.3,51.6,,,17.2,41.4
=264,University of Gothenburg,"Gothenburg, Sweden",39.2,43,,47.2,32.1,37,26.7
=264,Kyung Hee University,South Korea,39.2,29.1,60.2,74,,,37.3
=264,ENS Paris-Saclay,"Cachan, France",39.2,,,87.8,36.7,32.9,43.3
268,Ecole des Ponts ParisTech,"Paris, France",39.1,,74.4,97.9,,,98.6
269,Universidad Nacional de Colombia,"Bogotá, Colombia",38.9,65,91.5,,,,
270,Universiti Putra Malaysia (UPM),"Seri Kembangan, Malaysia",38.8,43.2,,48.9,,45.2,71.8
271,"University of California, Riverside","Riverside, United States",38.7,,,,84,95.4,30.8
=272,Universidad de los Andes,"Bogotá, Colombia",38.5,59.7,84.8,,,31.9,
=272,Friedrich-Alexander-Universität Erlangen-Nürnberg,"Erlangen, Germany",38.5,30.1,37.2,,97.5,26.2,27.2
=272,University of Strathclyde,"Glasgow, United Kingdom",38.5,28.7,54.5,28.6,36.3,88.5,80.2
275,Wuhan University,"Wuhan, China (Mainland)",38.2,42.8,46.5,,39.8,54.9,
276,Queensland University of Technology (QUT),"Brisbane, Australia",38.1,39.9,56.7,,31.4,96.9,49.6
277,North Carolina State University,"Raleigh, United States",38,36.2,,29.1,50.1,51.8,40.1
=278,Harbin Institute of Technology,"Harbin, China (Mainland)",37.9,30.5,,49.6,64.4,,
=278,Hong Kong Baptist University,"Hong Kong, Hong Kong SAR",37.9,,,35.9,50.2,99.4,91.4
=280,Universidad Carlos III de Madrid (UC3M),"Madrid, Spain",37.8,34.8,56.9,68.2,,34.2,22.6
=280,"Birkbeck, University of London","London, United Kingdom",37.8,,,,70,97.5,99.2
282,Linköping University,"Linköping, Sweden",37.7,,49.3,70.3,28,41.1,
=283,Mahidol University,"Nakhon Pathom, Thailand",37.6,45.8,,73.3,,,
=283,Universitat Pompeu Fabra (Barcelona),"Barcelona, Spain",37.6,39.4,31.8,,44.4,76.4,34.5
